A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,A,B,X
FA/1,,,Pb/1,,,I/1,,,,,,,,13.56,MA/HA,Pb,I
FA/0.95,Rb/0.05,,Pb/1,,,I/1,,,,,,1.07,23.93,17.16,FA,Pb,I
FA/0.9,Rb/0.1,,Pb/1,,,I/1,,,,,,,,15.57,FA/Rb,Pb,I
FA/0.85,Rb/0.15,,Pb/1,,,I/1,,,,,,,,13.3,FA/Rb,Pb,I
FA/0.8,Rb/0.2,,Pb/1,,,I/1,,,,,,,,12.45,FA/Rb,Pb,I
FA/0.75,MA/0.25,,Pb/1,,,I/1,,,,,,1.03,21.1,15.51,FA/Rb,Pb,I
FA/0.85,MA/0.15,,Pb/1,,,I/0.85,Br/0.15,,,Spiro-OMeTAD,mesoporous TiO2,,,8.8,FA/MA,Pb,I
FA/1,,,Pb/1,,,I/1,,,,Spiro-OMeTAD,mesoporous TiO2,,,19.3,FA/MA,Pb,I/Br
FA/1,,,Pb/1,,,I/0.952,Br/0.048,,,Spiro-OMeTAD,mesoporous TiO2,1.16,24.6,20.8,FA,Pb,I
FA/1,,,Pb/1,,,I/0.909,Br/0.091,,,Spiro-OMeTAD,mesoporous TiO2,,,19.8,FA,Pb,I/Br
FA/1,,,Pb/1,,,I/0.862,Br/0.138,,,Spiro-OMeTAD,mesoporous TiO2,,,20,FA,Pb,I/Br
FA/1,,,Pb/1,,,I/0.813,Br/0.187,,,Spiro-OMeTAD,mesoporous TiO2,,,19.2,FA,Pb,I/Br
FA/1,,,Pb/1,,,I/0.729,Br/0.271,,,Spiro-OMeTAD,mesoporous TiO2,,,12.2,FA,Pb,I/Br
FA/1,,,Pb/1,,,I/0.649,Br/0.351,,,Spiro-OMeTAD,mesoporous TiO2,,,10.9,FA,Pb,I/Br
,MA/1,,Pb/1,,,I/1,,,,,,,,15.8,FA,Pb,I/Br
Al/0.00075,MA/0.99775,,Pb/1,,,I/1,,,,,,,,16.4,MA,Pb,I
Al/0.0015,MA/0.9955,,Pb/1,,,I/1,,,,,,1.09,22.3,18.2,Al/MA,Pb,I
Al/0.003,MA/0.991,,Pb/1,,,I/1,,,,,,,,16.6,Al/MA,Pb,I
Al/0.0075,MA/0.9775,,Pb/1,,,I/1,,,,,,,,11.7,Al/MA,Pb,I
Al/0.015,MA/0.955,,Pb/1,,,I/1,,,,,,,,6.7,Al/MA,Pb,I
MA/1,,,Pb/1,,,I/1,,,,,,,,15.6,Al/MA,Pb,I
MA/1,,,Pb/1,,,I/0.97,Br/0.03,,,,,,,16.31,MA,Pb,I
MA/1,,,Pb/1,,,I/0.963,Br/0.037,,,,,,,16.75,MA,Pb,I/Br
MA/1,,,Pb/1,,,I/0.953,Br/0.047,,,,,1.064,23.52,18.02,MA,Pb,I/Br
MA/1,,,Pb/1,,,I/0.933,Br/0.067,,,,,,,17.11,MA,Pb,I/Br
MA/1,,,Pb/1,,,I/0.667,Br/0.333,,,,,,,3.83,MA,Pb,I/Br
MA/1,,,Pb/1,,,I/1,,,,,,,,10.27,MA,Pb,I/Br
MA/1,,,Pb/0.984,Co/0.016,,I/1,,,,,,,,11.37,MA,Pb,I
MA/1,,,Pb/0.969,Co/0.031,,I/1,,,,,,,,11.11,MA,Pb/Co,I
MA/1,,,Pb/0.938,Co/0.062,,I/1,,,,,,,,10.21,MA,Pb/Co,I
MA/1,,,Pb/0.875,Co/0.125,,I/1,,,,,,,,8.66,MA,Pb/Co,I
MA/1,,,Pb/0.75,Co/0.25,,I/1,,,,,,,,4.14,MA,Pb/Co,I
MA/1,,,Pb/0.984,Cu/0.016,,I/1,,,,,,,,10.14,MA,Pb/Co,I
MA/1,,,Pb/0.969,Cu/0.031,,I/1,,,,,,,,8.37,MA,Pb/Cu,I
MA/1,,,Pb/0.938,Cu/0.062,,I/1,,,,,,,,6.57,MA,Pb/Cu,I
MA/1,,,Pb/0.875,Cu/0.125,,I/1,,,,,,,,5.46,MA,Pb/Cu,I
MA/1,,,Pb/0.75,Cu/0.25,,I/1,,,,,,,,8.29,MA,Pb/Cu,I
MA/1,,,Pb/0.984,Fe/0.016,,I/1,,,,,,,,1.78,MA,Pb/Cu,I
MA/1,,,Pb/0.969,Fe/0.031,,I/1,,,,,,,,1.75,MA,Pb/Fe,I
