A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE
MA/0.95,Cs/0.05,,Pb/1.0,,,I/0.95,Br/0.05,,,Spiro-OMeTAD,TiO2,1.02,22.3,14.9
MA/0.9,Cs/0.1,,Pb/1.0,,,I/0.9,Br/0.10,,,Spiro-OMeTAD,TiO2,1.07,20.9,15.9
MA/0.80,Cs/0.2,,Pb/1.0,,,I/0.80,Br/0.20,,,Spiro-OMeTAD,TiO2,1.06,17.2,12.7
FA/1.0,,,Pb/1.0,,,I/1.0,,,1.49,spiro-OMeTAD,Doped c60,0.94,23.33,14.57
FA/0.90,MA/0.10,,Pb/1.0,,,I/1.0,,,1.53,spiro-OMeTAD,Doped c60,0.97,23.14,15.27
FA/0.80,MA/0.20,,Pb/1.0,,,I/1.0,,,1.54,spiro-OMeTAD,Doped c60,0.99,22.87,15.58
FA/0.70,MA/0.30,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,0.99,22.63,15.78
FA/0.60,MA/0.40,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,1,22.51,16.48
FA/0.50,MA/0.50,,Pb/1.0,,,I/1.0,,,1.56,spiro-OMeTAD,Doped c60,0.98,22.64,15.67
FA/0.90,Cs/0.10,,Pb/1.0,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.9439,22.46,13.97
FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,1.13,22.2,16.1
FA/0.81,MA/0.15,,Pb/1.0,,,I/0.836,Br/0.15,,,spiro-OMeTAD,TiO2,2.213,22.2,17.2
MA/1,Cs/0,,Pb/1,,,I/1,Br/0,,1.58,,,,,15.08
MA/0.95,Cs/0.05,,Pb/1,,,I/0.95,Br/0.05,,1.62,,,,,15.7
MA/0.9,Cs/0.1,,Pb/1,,,I/0.9,Br/0.1,,1.65,,,1.08,21.32,16.42
MA/0.8,Cs/0.2,,Pb/1,,,I/0.8,Br/0.2,,1.73,,,,,14.31
