MA/FA,MA,Al/MA,FA/Cs,MA/Cs,FA,MA/HA,FA/Rb,Cs,MA/Ag,Pb,Pb/Sn,Pb/Sb,Pb/Co,Pb/Cu,Pb/Fe,Pb/Mg,Pb/Mn,Pb/Ni,Pb/Sr,Pb/Zn,Sn,Ge,I/Br,I,I/SCN,I/Cl,Br,PCE
,,,,,1,,,,,1,,,,,,,,,,,,,0.333,,,,,7.5
0.167,,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,5.8
0.333,,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,5.6
0.5,,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,7.9
0.667,,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,6.2
0.833,,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,3.5
,1,,,,,,,,,1,,,,,,,,,,,,,0.333,,,,,6.3
,,,,,1,,,,,1,,,,,,,,,,,,,0.167,,,,,5
0.167,,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,3.3
0.333,,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,3.4
0.5,,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,3.9
0.667,,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,2.9
0.833,,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,2.3
,1,,,,,,,,,1,,,,,,,,,,,,,0.167,,,,,3.5
,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,5
0.167,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,6.5
0.333,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,5.5
0.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,7.1
0.667,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,6.4
0.833,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,7.1
,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,5.6
,1,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,14.35
0.75,,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,13.87
0.5,,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,14.19
0.25,,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,7.53
,,,,,1,,,,,,0.75,,,,,,,,,,,,,1,,,,7.32
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,14.07
,1,,,,,,,,,,0.75,,,,,,,,,,,,,1,,,,14.35
,1,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,3.68
,1,,,,,,,,,,0.25,,,,,,,,,,,,,1,,,,2.36
,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,0.26
0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,14.01
,1,,,,,,,,,,,,,,,,,,0.833,,,,,,,0.833,,15.9
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,16
,,,,,,,,,0.995,1,,,,,,,,,,,,,,1,,,,18.4
,,,,,,,,,0.99,1,,,,,,,,,,,,,,1,,,,17.9
,,,,,,,,,0.975,1,,,,,,,,,,,,,,1,,,,15.2
,,,,,,,,,0.95,1,,,,,,,,,,,,,,1,,,,13
,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3.85
,1,,,,,,,,,1,,,,,,,,,,,,,,,,0.6,,6.15
,1,,,,,,,,,1,,,,,,,,,,,,,,,,0.333,,3.85
