,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Formula,A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,UV-Vis,Stability,Reference,A,B,X
FA0.70MA0.30PbI3,FA/0.70,Ma/0.30,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,0.99,22.63,15.78,,,,FA/MA,Pb,I
FA0.60MA0.40PbI3,FA/0.60,Ma/0.40,,Pb/1.0,,,I/1.0,,,1.55,spiro-OMeTAD,Doped c60,1,22.51,16.48,,,,FA/MA,Pb,I
FA0.50MA0.50PbI3,FA/0.50,Ma/0.50,,Pb/1.0,,,I/1.0,,,1.56,spiro-OMeTAD,Doped c60,0.98,22.64,15.67,,,Yao2017_2449,FA/MA,Pb,I
FA0.9Cs0.1PbI3,FA/0.90,Cs/0.10,,Pb/1.0,,,I/1.0,,,,spiro-OMeTAD,TiO2,0.9439,22.46,13.97,,,,FA/Cs,Pb,I
FA0.9Cs0.1PbI3(Pb(SCN)2)0.025,FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.975,SCN/0.025,,,spiro-OMeTAD,TiO2,0.9984,21.26,15.64,,,,FA/Cs,Pb,I/SCN
FA0.9Cs0.1PbI3(Pb(SCN)2)0.05,FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.95,SCN/0.05,,,spiro-OMeTAD,TiO2,0.9946,22.05,16.2,,,,FA/Cs,Pb,I/SCN
FA0.9Cs0.1PbI3(Pb(SCN)2)0.075,FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.925,SCN/0.075,,,spiro-OMeTAD,TiO2,0.9847,20.06,13.72,,,,FA/Cs,Pb,I/SCN
FA0.9Cs0.1PbI3(Pb(SCN)2)0.10,FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.90,SCN/0.1,,,spiro-OMeTAD,TiO2,0.9551,19.6,11.01,,,,FA/Cs,Pb,I/SCN
FA1.0PbI3(Pb(SCN)2)0.0375,FA/1.0,,,Pb/1.0,,,I/0.9625,SCN/0.0375,,,spiro-OMeTAD,TiO2,0.84,15.9,8.8,,,,FA,Pb,I/SCN
FA0.95Cs0.5PbI3(Pb(SCN)2)0.0375,FA/0.95,Cs/0.05,,Pb/1.0,,,I/0.9625,SCN/0.0376,,,spiro-OMeTAD,TiO2,0.89,18.1,10.5,,,,FA/Cs,Pb,I/SCN
FA0.90Cs0.1PbI3(Pb(SCN)2)0.0375,FA/0.90,Cs/0.10,,Pb/1.0,,,I/0.9625,SCN/0.0377,,,spiro-OMeTAD,TiO2,0.871,21.2,11.1,,,,FA/Cs,Pb,I/SCN
